"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","4","modelo: mensagem","contexto: listar","","","","deve permitir listar todas as mensagens",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","1","modelo: mensagem","contexto: registrar","","","","não deve permitir registrar mensagem com o campo usuario com mais de 10 caracteres",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","2","modelo: mensagem","contexto: buscar","","","","deve retornar null ao buscar uma mensagem com ID inexistente",""
"passed","Thu Oct 10 20:40:04 GMT 2024","Thu Oct 10 20:40:04 GMT 2024","22","model: mensagem","contexto: registrar","","","","deve permitir registrar uma mensagem",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","3","modelo: mensagem","contexto: registrar","","","","não deve permitir registrar mensagem sem o campo usuario",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","1","modelo: mensagem","contexto: registrar","","","","não deve permitir registrar mensagem sem o campo conteúdo",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","3","controller: mensagem","contexto: registrar","","","","deve retornar erro ao registrar mensagem via requisição",""
"passed","Thu Oct 10 20:40:05 GMT 2024","Thu Oct 10 20:40:06 GMT 2024","38","gerir mensagens","","","","","deve permitir registrar mensagem",""
"passed","Thu Oct 10 20:40:01 GMT 2024","Thu Oct 10 20:40:01 GMT 2024","0","service: mensagem","contexto: listar","","","","deve gerar exceção quando houver erro ao obter mensagens",""
"passed","Thu Oct 10 20:40:04 GMT 2024","Thu Oct 10 20:40:04 GMT 2024","41","controller: mensagem","contexto: registrar","","","","deve permitir registrar mensagem via requisição",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","17","controller: mensagem","contexto: registrar","","","","deve permitir registrar mensagem via requisição",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","3","modelo: mensagem","contexto: remover","","","","deve permitir remover uma mensagem existente",""
"passed","Thu Oct 10 20:40:06 GMT 2024","Thu Oct 10 20:40:06 GMT 2024","5","gerir mensagens","","","","","deve permitir registrar mensagem via requisição",""
"passed","Thu Oct 10 20:40:04 GMT 2024","Thu Oct 10 20:40:04 GMT 2024","5","model: mensagem","contexto: buscar","","","","deve permitir buscar mensagem por id",""
"passed","Thu Oct 10 20:40:04 GMT 2024","Thu Oct 10 20:40:04 GMT 2024","5","model: mensagem","contexto: remover","","","","deve permitir remover mensagem existente",""
"passed","Thu Oct 10 20:40:04 GMT 2024","Thu Oct 10 20:40:04 GMT 2024","9","controller: mensagem","contexto: buscar","","","","deve permitir registrar mensagem via requisição",""
"passed","Thu Oct 10 20:40:01 GMT 2024","Thu Oct 10 20:40:01 GMT 2024","8","service: mensagem","contexto: registrar","","","","deve permitir registrar mensagem",""
"passed","Thu Oct 10 20:40:01 GMT 2024","Thu Oct 10 20:40:01 GMT 2024","1","service: mensagem","contexto: listar","","","","deve permitir listar todas as mensagens mesmo que existam",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","7","modelo: mensagem","contexto: buscar","","","","deve buscar uma mensagem por ID",""
"passed","Thu Oct 10 20:40:01 GMT 2024","Thu Oct 10 20:40:01 GMT 2024","2","service: mensagem","contexto: listar","","","","deve permitir listar todas as mensagens",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","1","modelo: mensagem","contexto: registrar","","","","não deve permitir registrar mensagem com o campo usuario vazio",""
"passed","Thu Oct 10 20:40:04 GMT 2024","Thu Oct 10 20:40:04 GMT 2024","7","model: mensagem","contexto: atualizar","","","","deve permitir atualizar mensagem existente",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","1","modelo: mensagem","contexto: registrar","","","","não deve permitir registrar mensagem com o campo usuario com menos de 10 caracteres",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","2","modelo: mensagem","contexto: listar","","","","deve permitir listar todas as mensagens mesmo que existam",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","12","modelo: mensagem","contexto: registrar","","","","deve permirtir registrar uma mensagem valida",""
"passed","Thu Oct 10 20:40:02 GMT 2024","Thu Oct 10 20:40:02 GMT 2024","1","modelo: mensagem","contexto: registrar","","","","não deve permitir registrar mensagem com o campo conteúdo vazio",""
"passed","Thu Oct 10 20:40:01 GMT 2024","Thu Oct 10 20:40:01 GMT 2024","11","service: mensagem","contexto: registrar","","","","deve lançar erro ao registrar mensagem",""
